subject='timediff', 	 description='0.08799696s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:35:30'
subject='ups-validation-loopruntime', 	 description='1.91207886', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:35:32'
subject='ups-sqlwriteback-loopruntime', 	 description='0.01082397', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:35:32'
subject='address_validated', 	 description='addresses validated', 	 batch_id='803', 	 user_id='803', 	 timestamp='2014-09-17 15:35:32'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:39:11'
subject='timediff', 	 description='0.04024506s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:39:11'
subject='ups-validation-loopruntime', 	 description='1.81241703', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:39:13'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00910592', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:39:13'
subject='address_validated', 	 description='addresses validated', 	 batch_id='804', 	 user_id='804', 	 timestamp='2014-09-17 15:39:13'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:44:22'
subject='timediff', 	 description='0.03758717s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:44:22'
subject='ups-validation-loopruntime', 	 description='2.07020211', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:44:24'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00711989', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:44:24'
subject='address_validated', 	 description='addresses validated', 	 batch_id='805', 	 user_id='805', 	 timestamp='2014-09-17 15:44:24'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:46:21'
subject='timediff', 	 description='0.039891s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:46:21'
subject='ups-validation-loopruntime', 	 description='1.75408888', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:46:23'
subject='ups-sqlwriteback-loopruntime', 	 description='0.007236', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:46:23'
subject='address_validated', 	 description='addresses validated', 	 batch_id='806', 	 user_id='806', 	 timestamp='2014-09-17 15:46:23'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:53:20'
subject='timediff', 	 description='1.4993391s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:53:20'
subject='bv_UPSValidationBatch', 	 description='Error: Error: Could not process query', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:53:20'
subject='address_validated', 	 description='addresses validated', 	 batch_id='807', 	 user_id='807', 	 timestamp='2014-12-01 14:53:20'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:54:54'
subject='timediff', 	 description='1.2759912s', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:54:54'
subject='bv_UPSValidationBatch', 	 description='Error: Error: Could not process query', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-12-01 14:54:54'
subject='address_validated', 	 description='addresses validated', 	 batch_id='808', 	 user_id='808', 	 timestamp='2014-12-01 14:54:54'
